kab_kota,provinsi,stunting,melahirkan_tidak_difaskes,kemiskinan,konsumsi_protein_per_kapita,pangan_hewani,rls,lon,lat,regency_id,faktor_dominan,fi_Melahirkan Tidak di Faskes,fi_Kemiskinan,fi_Konsumsi Protein,fi_Pangan Hewani,fi_RLS,stunting_pred_gwrf,residual_gwrf,skor_prioritas,skor_prioritas_100,rank_prioritas,kategori_stunting
Kota Pariaman,Sumatera Barat,13.6,0.0,4.26,58.9,47.61,11.06,100.13810080548754,-0.6085971648536129,1377,RLS,0.21203362388482339,0.20768890806870738,0.16484708995667038,0.2025977109788724,0.21283266711092655,9.651529170509653,3.948470829490347,-0.7931357831636299,18.722690940481833,362,Sedang
Kuantan Singingi,Riau,19.9,0.09,7.89,59.5,56.44,9.14,101.50591953451116,-0.4741799222254722,1401,Pangan Hewani,0.18593964548598685,0.1934442924986022,0.194423673503323,0.21590767991444862,0.2102847085976394,17.272483802534836,2.6275161974651624,-0.08654819971948718,36.370901348232984,219,Sedang
Indragiri Hulu,Riau,15.0,0.19,6.02,55.2,49.75,8.43,102.3318831542071,-0.5414479595717919,1402,RLS,0.21473138808330985,0.15293927587358963,0.21430148102834048,0.202505859222363,0.21552199579239692,17.134683459189567,-2.134683459189567,-0.26340532914872394,31.95359781019992,263,Sedang
Siak,Riau,14.6,0.16,5.08,62.7,60.35,9.92,101.87542205041912,0.8170253200627076,1405,RLS,0.23433766747228113,0.12082836769634629,0.192154586664663,0.21102187538948233,0.2416575027772273,16.10631516023557,-1.5063151602355713,-0.6485375402492161,22.334274663911952,341,Sedang
Rokan Hulu,Riau,14.7,0.08,9.62,62.0,51.54,8.94,100.50535645751904,0.9430558662205,1407,RLS,0.15564145702059617,0.20095161119941962,0.2197155604625013,0.15755428901409893,0.26613708230338395,21.99218884621116,-7.292188846211161,-0.3129367489336663,30.71646749735397,281,Sedang
Bengkalis,Riau,9.9,0.06,6.36,64.9,64.31,9.74,101.64286612657143,1.4119566739621554,1408,Kemiskinan,0.18748375954717048,0.26627605829539647,0.14314198412415802,0.2155257631903206,0.18757243484295447,6.983976922098492,2.9160230779015084,-1.03951950803352,12.568844029735725,382,Rendah
Rokan Hilir,Riau,19.2,0.15,7.01,58.9,56.32,8.53,100.74918434711132,1.77318968838815,1409,RLS,0.19441213724144454,0.1287920285853892,0.21394984849001258,0.22718123260873163,0.23566475307442208,20.114674273720116,-0.9146742737201166,-0.060949667295035065,37.010267644700164,213,Sedang
Kepulauan Meranti,Riau,15.6,0.26,23.15,56.7,51.57,8.12,102.64933201558198,1.0032717318560629,1410,Kemiskinan,0.1675715284909028,0.2666780807719651,0.2344045894958644,0.18711274163013103,0.14423305961113675,9.273148245866398,6.326851754133601,0.41299925751943406,48.84793723249926,96,Sedang
Kota Pekanbaru,Riau,11.1,0.02,3.15,59.0,58.32,11.96,101.4657262780803,0.5512775994523211,1471,RLS,0.20881765381861184,0.19521957283200045,0.19462483305434844,0.18302995163761127,0.21830798865742793,16.59861269429092,-5.498612694290921,-1.2395604549406882,7.57248575242874,396,Sedang
Kota Dumai,Riau,13.6,0.0,3.14,62.3,61.57,10.29,101.28227319164158,1.8207901123382164,1473,RLS,0.21979852366128932,0.17689732095300773,0.1803729293110968,0.1765008102287595,0.24643041584584666,6.884405864967249,6.715594135032751,-0.9454137903058043,14.919292220370334,376,Sedang
Merangin,Jambi,7.2,0.34,8.4,55.9,41.01,8.4,102.06831905388236,-2.19318167636222,1502,Pangan Hewani,0.20801583196651513,0.21044024829793762,0.20753937921864019,0.21827079537504693,0.15573374514186025,9.000577690240767,-1.8005776902407673,-0.5118374555650524,25.7485886340275,318,Rendah
Sarolangun,Jambi,4.4,0.23,8.36,53.3,41.36,8.35,102.67252176547136,-2.3063075393735275,1503,RLS,0.20077775827853872,0.1487165265426568,0.21412556413216893,0.16998481688759895,0.26639533415903666,7.732412851404755,-3.3324128514047544,-0.782730013753562,18.982592490277373,358,Rendah
Tanjung Jabung Timur,Jambi,20.3,0.4,10.14,64.1,57.2,7.7,103.96530239024888,-1.2253869536493227,1506,Kemiskinan,0.23363815295196774,0.2468758244905119,0.17150062362167576,0.18210429271641673,0.16588110621942795,22.98129065874736,-2.6812906587473577,0.361055360185848,47.55055124522593,107,Tinggi
Tanjung Jabung Barat,Jambi,5.1,0.43,9.54,58.6,50.97,8.32,103.11457009597768,-1.0713053365668728,1507,Pangan Hewani,0.21827867424178798,0.17708844525692555,0.18000800277158793,0.2549355929212182,0.1696892848084802,8.421561277720778,-3.321561277720779,-0.6942631475483214,21.192200903284363,350,Rendah
Tebo,Jambi,14.9,0.21,6.12,55.6,41.56,8.04,102.3643071677086,-1.3075952739303214,1508,Kemiskinan,0.1369088658801281,0.26812254843865113,0.22235962796028438,0.2003335240435043,0.17227543367743214,25.746196630414186,-10.846196630414186,-0.09833162591787428,36.07659050871937,223,Sedang
Kota Jambi,Jambi,8.6,0.07,7.73,60.4,54.58,11.51,103.599789010878,-1.6181782927920334,1571,RLS,0.1591153595928726,0.21231914536690596,0.20979411647259266,0.20351073321443788,0.215260645353191,5.572127492168365,3.027872507831635,-1.1288895195761348,10.336678046632375,388,Rendah
Kota Sungai Penuh,Jambi,6.4,0.03,2.92,56.0,44.32,10.48,101.33925723009024,-2.1132934877003926,1572,RLS,0.1710284167141524,0.1973018385874579,0.1870839349994193,0.21244410394156404,0.23214170575740634,2.6855496833309456,3.714450316669055,-1.2217565225682894,8.017168834831512,395,Rendah
Ogan Komering Ulu,Sumatera Selatan,19.2,0.2,10.68,56.7,44.44,8.86,104.10519055694236,-4.093787439480343,1601,Kemiskinan,0.1484747212637999,0.26953538623475626,0.18651589921689712,0.18486453866912506,0.21060945461542183,12.920633004370561,6.279366995629438,0.2276420286271168,44.21832944892588,133,Sedang
Ogan Komering Ilir,Sumatera Selatan,17.6,0.2,12.08,65.6,53.24,7.19,105.39727665882526,-3.3639733092906265,1602,RLS,0.17266378189761805,0.17851340235463262,0.20491398171528652,0.21881135344513036,0.22509748058733237,14.236656224784774,3.3633437752152275,0.2146178534621364,43.89302882224546,139,Sedang
Muara Enim,Sumatera Selatan,16.6,0.3,9.79,65.6,50.19,8.27,103.99660856241196,-3.6367760920266345,1603,Konsumsi Protein,0.2035865980359689,0.20366713899055813,0.21547099005913362,0.19516937235531048,0.1821059005590289,13.487410863289092,3.112589136710909,0.06012232226266939,40.03424371824566,179,Sedang
Lahat,Sumatera Selatan,10.6,0.22,14.14,67.6,50.05,8.69,103.37893492918808,-3.828883921839676,1604,Pangan Hewani,0.21994916660261768,0.23225568497332355,0.1856100175059285,0.23689716235051247,0.1252879685676179,19.36160373839054,-8.761603738390539,-0.3115722343116976,30.750548539417544,280,Sedang
Musi Rawas,Sumatera Selatan,15.3,0.24,13.44,67.6,48.29,7.57,103.13655955538792,-3.1654443276277697,1605,RLS,0.15462746764466062,0.18554005428955542,0.18801906699086687,0.2340805830159319,0.23773282805898524,14.592623784726454,0.7073762152735465,0.15318036202446605,42.35852439388945,151,Sedang
Ogan Komering Ulu Selatan,Sumatera Selatan,12.4,0.45,9.86,57.7,38.83,8.25,103.9101681896806,-4.5889970756139205,1608,Pangan Hewani,0.1950056132967905,0.17207632605815873,0.21233822325027202,0.26153773364458077,0.15904210375019787,18.388079382828042,-5.988079382828042,0.023874741209653966,39.12889956532764,183,Sedang
Ogan Ilir,Sumatera Selatan,20.7,0.19,12.3,64.8,53.93,8.09,104.60529941563996,-3.415351604471873,1610,Pangan Hewani,0.15382232124184014,0.16104544494396222,0.2386482914600555,0.24570019036738538,0.2007837519867567,22.343554534465547,-1.6435545344655473,0.33060302094920135,46.78995297991684,113,Tinggi
Empat Lawang,Sumatera Selatan,21.6,0.3,10.78,64.5,39.51,7.68,102.94799554834594,-3.751525101264096,1611,Melahirkan Tidak di Faskes,0.2298880754598613,0.1875084169464946,0.21805058379533981,0.16116315004683965,0.20338977375146472,14.720176056278259,6.8798239437217426,0.6594497301372167,55.00345128023822,58,Tinggi
